PubChem CID,MOLECULAR_WEIGHT,HYDROGEN_BOND_DONOR_COUNT,HYDROGEN_BOND_ACCEPTOR_COUNT,TOPOLOGICAL_POLAR_SURFACE_AREA,HEAVY_ATOM_COUNT,COMPLEXITY,MELTING_POINT (K),SOLUBILITY (mg/L),logP,LABEL
1981,415.8,1,6,94.8,29,620,151.5,2.29,4.49,2
1983,151.16,2,2,49.3,11,139,170,4150,0.91,2
2088,249.1,6,8,161,14,257,235,16900,-2.95,2
2244,180.16,1,4,63.6,13,212,139,10000,1.18,2
2313,282.29,1,4,64.4,21,357,160,103,2.95,2
3672,206.28,1,2,37.3,15,203,349.15,21,3.97,2
39912,206.28,1,2,37.3,15,203,324.15,68.4,3.67,2
3059,250.2,2,5,57.5,18,311,210.5,14.5,4.44,2
60835,297.4,1,3,49.5,21,312,167,2.96,4,2
3332,212.24,1,2,37.3,16,223,160.5,37.2,3.33,2
3345,336.5,0,2,23.6,25,391,83.5,740,4.05,2
3676,234.34,1,2,32.3,17,228,68.5,4100,2.44,2
5288826,285.34,2,4,52.9,21,494,255,149,0.87,2
156391,230.26,1,3,46.5,17,277,152,15.9,3.18,2
5284603,315.4,1,5,59,23,553,219,166000,0.7,2
4927,284.4,0,3,31.8,20,298,60,15.6,4.81,2
5339,398.4,3,9,150,28,657,240,46.4,2.5,2
2337,165.19,1,3,52.3,12,151,365.15,1310,1.86,2
