NAME,PubChem CID,MOLECULAR_WEIGHT,HYDROGEN_BOND_DONOR_COUNT,HYDROGEN_BOND_ACCEPTOR_COUNT,TOPOLOGICAL_POLAR_SURFACE_AREA,HEAVY_ATOM_COUNT,FORMAL_CHARGE,COMPLEXITY,MELTING_POINT (K),BOILING_POINT (K),SOLUBILITY (mg/L),logP,DENSITY,pH,pKa,DISSOCIATION_CONSTANT,COLLISION_CROSS_SECTION,LABEL,DATASET
tolbutamide,5505,270.35,2,3,83.6,18,0,354,401.65,,109,2.34,,,5.16,,"163 Å² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",0,
tolazamide,5503,311.4,2,4,86.9,21,0,431,444.65,,65.4,2.69,,,,,"173.3 Å² [M+H]+ [CCS Type: TW, Method: calibrated with polyalanine and drug standards]",0,
metformin,4091,129.16,3,1,91.5,9,0,132,497.65,497.25,200000,-2.6,,,12.4,,,0,
bromocriptine,31101,654.6,3,6,118,43,0,1230,489.65,,85.8,3.5,,,,,,0,
dapagliflozin,9887712,408.9,4,6,99.4,28,0,472,338.15,882.15,173,2.7,,,,,,0,
canagliflozin,24812758,444.5,4,7,118,31,0,574,343.15,916.05,4.5,3.44,,,13.34,,,0,
empagliflozin,11949646,450.9,4,7,109,31,0,558,423.15,,280,1.725,,,,,,0,
ertugliflozin,44814423,436.9,4,7,109,30,0,586,415.15,,119,2.265,,,,,,0,
liraglutide,16134956,3751,54,55,1510,266,0,8760,455.15,,1100,6.13,,9.3,,,,0,
acebutolol,1978,336.4,3,5,87.7,24,0,401,410.15,,259,1.71,,,,,"190.2 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1,TRAINING
amiloride,16231,229.63,4,5,159,15,0,279,513.65,,616,-0.3,,,8.7,,,1,TRAINING
amlodipine,2162,408.9,2,7,99.9,28,0,647,473.15,527.2,7.4,3,,,,,,1,TRAINING
atenolol,2249,266.34,3,4,84.6,19,0,263,432.15,,13300,0.16,,,9.6,,"159.5 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1,TRAINING
azilsartan,135415867,456.4,2,7,115,34,0,783,486.15,,7.03,5.5,,,6.1,,,1,TRAINING
benazepril,5362124,424.5,2,6,95.9,31,0,619,407.15,691.2,10.5,1.3,,,,,,1,TRAINING
bendroflumethiazide,2315,421.4,3,10,135,27,0,740,495.65,,108,1.89,,,8.5,,"188.6 â„«Â² [M+H]+ [CCS Type: TW, Method: calibrated with polyalanine and drug standards]",1,TRAINING
betaxolol,2369,307.4,2,4,50.7,22,0,286,344.15,,451,2.81,,,9.4,,,1,TRAINING
bisoprolol,2405,325.4,2,5,60,23,0,278,374.65,445,70.7,2.2,,,9.5,,,1,TRAINING
carteolol,2583,292.37,3,4,70.6,21,0,354,543.15,,421,1.1,,,,,,1,TRAINING
carvedilol,2585,406.5,3,5,75.7,30,0,508,387.15,,88000,3.8,,,,,,1,TRAINING
chlorothiazide,2720,295.7,2,6,135,17,0,532,921.65,,266,-0.24,,,6.85,,,1,TRAINING
chlorthalidone,2732,338.8,3,5,118,22,0,564,512.15,,120,0.85,,,,,,1,TRAINING
cilnidipine,5282138,492.5,1,8,120,36,0,896,383.15,653,0.566,4.7,,,11.39,,,1,TRAINING
clevidipine,153994,456.3,1,7,90.9,30,0,748,402.15,,2.67,4.5,,,,,,1,TRAINING
clonidine,2803,230.09,2,1,36.4,14,0,222,403.15,,480,1.59,,,8.05,,,1,TRAINING
clopamide,12492,345.8,2,5,101,22,0,498,519.15,,139,1.9,,,,,,1,TRAINING
diltiazem,39186,414.5,0,6,84.4,29,0,565,460.65,,465,2.8,,,,,"197.8 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1,TRAINING
doxazosin,3157,451.5,1,9,112,33,0,678,549.15,718,790,2.1,,,6.52,,,1,TRAINING
enalapril,5388962,376.4,2,6,95.9,27,0,519,416.9,,16400,0.07,,,,,"187.2 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1,TRAINING
epitizide,15671,425.9,3,11,160,24,0,662,476.15,,346,1,,,,,,1,TRAINING
eplerenone,443872,414.5,0,6,82.2,30,0,907,514.15,,9.03,1.3,,,,,,1,TRAINING
fosinopril,55891,563.7,1,7,110,39,0,850,424.15,,1.01,6.3,,,,,,1,TRAINING
furosemide,3440,330.74,3,7,131,21,0,481,493.15,,73.1,2.03,,,,,,1,TRAINING
guanabenz,5702063,231.08,2,2,76.8,14,0,228,499.15,,88.9,3.2,,,,,,1,TRAINING
guanfacine,3519,246.09,2,1,81.5,15,0,256,487.15,,1000,0.857,,,,,,1,TRAINING
hydrochlorothiazide,3639,297.7,3,7,135,17,0,494,798.15,,722,-0.07,,,,,,1,TRAINING
indapamide,3702,365.8,2,5,101,24,0,580,434.15,,34.2,8.8,,,,,,1,TRAINING
indoramin,33625,347.5,2,2,48.1,26,0,454,482.15,,8.63,3.3,,,,,,1,TRAINING
irbesartan,3749,428.5,1,5,87.1,32,0,682,453.65,648.6,8.84,4.5,,,,,,1,TRAINING
isradipine,3784,371.4,1,8,104,27,0,685,442.15,,228,4.28,,,,,,1,TRAINING
levamlodipine,9822750,408.9,2,7,99.9,28,0,647,411.15,413,81000,3.3,,,8.6,,,1,TRAINING
lisinopril,5362119,405.5,4,7,133,29,0,550,421.15,,97000,-1.01,,,2.5,,,1,TRAINING
losartan,3961,422.9,2,5,92.5,30,0,520,455.15,682,4.7,1.19,,,5.5,,,1,TRAINING
metalozone,4170,365.8,2,5,101,24,0,594,529.15,,60.3,2.5,,,,,,1,TRAINING
methyclothiazide,4121,360.2,2,7,126,20,0,571,498.15,,11.2,1.42,,,9.4,,,1,TRAINING
moxonidine,4810,241.68,2,4,71.4,16,0,275,474.15,,114,1.26,,,,,,1,TRAINING
nadolol,39147,309.4,4,5,82,22,0,344,400.15,526.437,8330,0.81,,,9.67,,"172 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1,TRAINING
nebivolol,71301,405.4,3,7,71,29,0,483,498.15,,910,4.183,,,8.13,,,1,TRAINING
nicardipine,4474,479.5,1,8,114,35,0,856,410.15,,2.2,3.82,,,,,"212.1 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1,TRAINING
nifedipine,4485,346.3,1,7,110,25,0,608,446.15,,17.7,2.2,,,,,,1,TRAINING
nimodipine,4497,418.4,1,8,120,30,0,736,398.15,,12,3.05,,,,,,1,TRAINING
nisoldipine,4499,388.4,1,7,110,28,0,704,424.65,,5.77,3.26,,,,,,1,TRAINING
nitrendipine,4507,360.4,1,7,110,26,0,661,431.15,,14.2,2.88,,,,,,1,TRAINING
olmesartan,158781,446.5,3,7,130,33,0,656,450.75,,10.5,0.73,,,4.3,,,1,TRAINING
oxprenolol,4631,265.35,2,4,50.7,19,0,246,352.15,,680,2.1,,,,,,1,TRAINING
penbutolol,37464,291.4,2,3,41.5,21,0,294,343.15,,21.2,4.15,,,,,,1,TRAINING
perindopril,107807,368.5,2,6,95.9,26,0,524,373.65,,1220,2.6,,,,,,1,TRAINING
phenoxybenzamine,4768,303.8,0,2,12.5,21,0,262,312.15,,10.3,4.7,,,,,,1,TRAINING
phentolamine,5775,281.35,2,3,47.9,21,0,363,447.65,,272,3.3,,,,,,1,TRAINING
pindolol,4828,248.32,3,3,57.3,18,0,248,444.15,,7880,1.75,,,9.25,,,1,TRAINING
polythiazide,4870,439.9,2,11,152,25,0,692,487.15,,264,1.9,,,,,,1,TRAINING
prazosin,4893,383.4,1,8,107,28,0,544,551.65,638.366,1400,1.3,,,6.54,,"192.7 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1,TRAINING
propranolol,4946,259.34,2,3,41.5,19,0,257,369.15,,61.7,3.48,,,9.42,,,1,TRAINING
quinapril,54892,438.5,2,6,95.9,32,0,648,398.15,,8.5,0.86,,,2.8,,,1,TRAINING
ramipril,5362129,416.5,2,6,95.9,30,0,619,382.15,,3.5,2.9,,,,,,1,TRAINING
tolazoline,5504,160.22,1,1,24.4,12,0,169,447.15,,373,2.65,,,10.3,,,1,TRAINING
torsemide,41781,348.4,3,5,109,24,0,518,436.65,,59.6,3.356,,,7.1,,,1,TRAINING
trandolapril,5484727,430.5,2,6,95.9,31,0,634,394.15,,20.7,3.5,,,,,,1,TRAINING
triamterene,5546,253.26,3,7,130,19,0,307,589.15,,963,0.98,,,,,,1,TRAINING
valsartan,60846,435.5,2,6,112,32,0,608,389.65,85.5,23.4,1.499,,,4.73,,,1,TRAINING
verapamil,2520,454.6,0,6,64,33,0,606,298.15,,3.94,5.1,,,,,,1,TRAINING
hydralazine,3637,160.18,2,4,63.8,12,0,150,445.65,524.45,1000,1,,,7.3,,,1,TRAINING
bucindolol,51045,363.5,3,4,81.1,27,0,515,459.15,,7.44,3.45,,,,,,1,VALIDATION
bumetanide,2471,364.4,3,7,127,25,0,528,503.65,,25.7,2.6,,,,,,1,VALIDATION
candesartan,2541,440.5,2,7,119,33,0,660,457.15,,7.45,3.52,,,,,,1,VALIDATION
captopril,44093,217.29,2,4,58.6,14,0,244,376.65,,4520,0.34,,,,,,1,VALIDATION
eprosartan,5281037,424.5,2,6,121,30,0,618,522.15,,8.66,3.9,,,,,,1,VALIDATION
ethacrynic acid,3278,303.13,1,4,63.6,19,0,370,394.65,,19.4,3.3,,,3.5,,,1,VALIDATION
felodipine,3333,384.2,1,5,64.6,25,0,614,416.15,,19.7,3.86,,,,,,1,VALIDATION
fimasartan,9870652,501.6,1,6,123,36,0,849,966.15,,4.69,4.15,,,,,,1,VALIDATION
labetalol,3869,328.4,4,4,95.6,24,0,385,461.15,552.7,5.78,1.81,,,9.3,,,1,VALIDATION
lercanidipine,65866,611.7,1,8,114,45,0,1090,394.15,,0.156,6.4,,,,,,1,VALIDATION
methyldopa,38853,211.21,4,5,104,15,0,246,573.15,,10000,-1.7,,,,,,1,VALIDATION
metoprolol,4171,267.36,2,4,50.7,19,0,215,393.15,398,402,2.15,,,9.7,,,1,VALIDATION
moexipril,91270,498.6,2,8,114,36,0,742,428.15,,5.85,2.7,,,,,,1,VALIDATION
spironolactone,5833,416.6,0,5,85.7,29,0,818,407.65,201,1.98,2.78,,,,,,1,VALIDATION
telmisartan,65999,514.6,1,4,72.9,39,0,831,535.15,,3.5,7.7,,,,,,1,VALIDATION
terazosin,5401,387.4,1,8,103,28,0,544,545.15,,1500,1.15,,,,,,1,VALIDATION
timolol,33624,316.42,2,8,108,21,0,310,475.65,100,269,1.8,,,9.2,,,1,VALIDATION
xipamide,26618,354.8,3,5,118,23,0,526,526.65,,24.6,2.81,,,,,,1,VALIDATION
minoxidil,4201,209.25,3,3,88.9,15,0,329,521.15,,2200,1.24,,,,,,1,VALIDATION
acemetacin,1981,415.8,1,6,94.8,29,0,620,151.5,637,2.29,4.49,,,2.6,,,2,TRAINING
acetaminophen,1983,151.16,2,2,49.3,11,0,139,170,500,4150,0.91,,,,,,2,TRAINING
alendronate,2088,249.1,6,8,161,14,0,257,235,,16900,-2.95,,,,,,2,TRAINING
aspirin,2244,180.16,1,4,63.6,13,0,212,139,140,10000,1.18,,,3.5,,,2,TRAINING
bendazac,2313,282.29,1,4,64.4,21,0,357,160,,103,2.95,,,,,,2,TRAINING
ibuprofen,3672,206.28,1,2,37.3,15,0,203,349.15,430.15,21,3.97,,,5.3,,,2,
dexibuprofen,39912,206.28,1,2,37.3,15,0,203,324.15,,68.4,3.67,,,,,,2,TRAINING
diflunisal,3059,250.2,2,5,57.5,18,0,311,210.5,,14.5,4.44,,,,,,2,TRAINING
duloxetine,60835,297.4,1,3,49.5,21,0,312,167,,2.96,4,,,,,,2,TRAINING
felbinac,3332,212.24,1,2,37.3,16,0,223,160.5,,37.2,3.33,,,,,,2,TRAINING
fentanyl,3345,336.5,0,2,23.6,25,0,391,83.5,,740,4.05,,,8.99,,,2,TRAINING
lidocaine,3676,234.34,1,2,32.3,17,0,228,68.5,159.5,4100,2.44,,,8.01,,,2,TRAINING
morphine,5288826,285.34,2,4,52.9,21,0,494,255,190,149,0.87,,,8.21,,,2,TRAINING
naproxen,156391,230.26,1,3,46.5,17,0,277,152,,15.9,3.18,,,4.15,,"154.83 Å² [M+H]+ [CCS Type: DT, Method: stepped-field]",2,TRAINING
oxycodone,5284603,315.4,1,5,59,23,0,553,219,,166000,0.7,,,,,,2,TRAINING
promethazine,4927,284.4,0,3,31.8,20,0,298,60,191,15.6,4.81,,,9.1,,"163.7 Å² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",2,TRAINING
sulfasalazine,5339,398.4,3,9,150,28,0,657,240,,46.4,2.5,,,,,,2,TRAINING
benzocaine,2337,165.19,1,3,52.3,12,0,151,365.15,583.15,1310,1.86,,,2.51,,,2,VALIDATION
azathioprine,2265,277.27,1,7,143,19,0,354,243.5,,1070,0.1,,,,,,X,TRAINING
bosutinib,5328940,530.4,1,8,82.9,36,0,734,132.5,,9.5,4.38,,,,,,X,TRAINING
bromfenac,60726,334.16,2,4,80.4,20,0,366,285,,12.6,3.4,,,,,,X,TRAINING
capecitabine,60953,359.35,3,7,121,25,0,582,115.5,,26,0.4,,,,,,X,TRAINING
chloroquine,2719,319.9,1,3,28.2,22,0,309,88.25,,17.5,4.63,,,10.1,,,X,TRAINING
chlorpromazine,2726,318.9,0,3,31.8,21,0,339,177.5,202.5,2.55,5.41,,,9.3,,"170.6 Å² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",X,TRAINING
clindamycin,446598,425,4,7,128,27,0,502,142,,3100,2.16,,,,,,X,TRAINING
dacomitinib,11511120,469.9,2,7,79.4,33,0,665,185.5,,8.74,3.92,,,,,,X,TRAINING
daraprim,4993,248.71,2,4,77.8,17,0,243,232.778,,121,2.69,,,7.34,,,X,TRAINING
desmopressin,5311065,1069.2,13,15,489,74,0,2040,171,,110,-3,,,,,,X,TRAINING
diazepam,3016,284.74,0,2,32.7,20,0,403,125.56,,50,2.82,,,3.4,,,X,TRAINING
doxycycline,54671203,444.4,6,9,182,32,0,956,201,762,50000,0.63,,,3.09,,,X,TRAINING
entecavir,135398508,277.28,4,5,126,20,0,480,220,,6590,-0.8,,,,,,X,TRAINING
fluoxetine,3386,309.33,1,5,21.3,22,0,308,195.5,395.1,1.7,4.05,,,,,,X,TRAINING
fexofenadine,3348,501.7,3,5,81,37,0,678,142.5,,2.66,3.98,,,,,,X,TRAINING
ibandronate,60852,319.23,5,8,139,19,0,342,114,,13400,-1.5,,,,,,X,TRAINING
ivacaftor,16220172,392.5,3,4,78.4,29,0,671,213,550.4,2,3.13,,,11.08,,,X,TRAINING
loratadine,3957,382.9,0,3,42.4,27,0,569,135,,13.4,4.72,,,,,,X,TRAINING
lorlatinib,71731823,406.4,1,7,110,30,0,700,185.5,,108,1.82,,,,,,X,TRAINING
mefloquine,4046,378.31,2,9,45.2,26,0,483,175,,5000,3.9,,,,,,X,TRAINING
metoclopramide,4168,299.79,2,4,67.6,20,0,300,172,418.7,310,2.667,,,9.27,,,X,TRAINING
minocycline,54675783,457.5,5,9,165,33,0,971,150,753.2,52000,0.05,,,,,,X,TRAINING
mitomycin,5746,334.33,3,8,147,24,0,757,360,534,8430,-0.4,,,10.9,,,X,TRAINING
nilutamide,4493,317.22,1,7,95.2,22,0,515,149,,4.19,1.8,,,,,,X,TRAINING
ondansetron,4595,293.4,0,2,39.8,22,0,440,231.5,,248,2.4,,,,,,X,TRAINING
oseltamivir phosphate,78000,410.4,5,9,168,27,0,468,197,,686,1,,,,,,X,TRAINING
peramivir,154234,328.41,5,5,151,23,0,460,257,,380,1.185,,,,,,X,TRAINING
primaquine,4908,259.35,2,4,60.2,19,0,262,25,,56.4,2.1,,,,,,X,TRAINING
prochlorperazine,4917,373.9,0,4,35,25,0,429,228,,15,4.88,,,8.1,,,X,TRAINING
quinine,3034034,324.4,1,4,45.6,24,0,457,57,,500,3.44,,,,,,X,TRAINING
risedronate,5245,283.11,5,8,148,17,0,339,257,692.3,10400,2.025,,,,,,X,TRAINING
telbivudine,159269,242.23,3,5,99.1,17,0,381,189,,66800,-1.4,,,,,,X,TRAINING
zanamivir,60855,332.31,7,8,201,23,0,518,256,,7310,-3,,,,,,X,TRAINING
loperamide,3955,477,1,3,43.8,34,0,623,222.1,,0.86,5.5,,,,,,X,VALIDATION
bismuth subsalicylate,16682734,363.1,1,4,36.5,12,0,173,623.15,,59700,0.74,,,,,,X,VALIDATION
scopolamine,3000322,303.35,1,5,62.3,22,0,418,332.15,,100000,0.98,,,7.75,,,X,VALIDATION
dimenhydrinate,10660,470,1,5,81.8,33,0,509,377.87,,3000,-0.39,,,,,,X,VALIDATION
cyclizine,6726,266.4,0,2,6.5,20,0,253,379.65,,1000,3,,,,,"166.7 Å² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",X,VALIDATION
modafinil,4236,273.4,1,3,79.4,19,0,302,438.15,,622,0.6,,,,,,X,VALIDATION
triazolam,5556,343.2,0,3,43.1,23,0,472,507.15,,4.53,2.42,,,,,"172.4 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",X,VALIDATION
doxylamine,3162,270.37,0,3,25.4,20,0,276,298.15,,1000000,2.5,,,,,"161.9 Å² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",X,VALIDATION
amphetamine,3007,135.21,1,1,26,10,0,84.7,175.15,337.85,1740,1.76,,,9.9,,,X,VALIDATION
methylphenidate,4158,233.31,1,3,38.3,17,0,249,347.65,,1255,1.86,,,,,,X,VALIDATION
dexmethylphenidate,154101,233.31,1,3,38.3,17,0,249,476.15,,182,1.86,,,,,,X,VALIDATION
atomoxetine hydrochloride,54840,291.8,2,2,21.3,20,0,237,436.15,337.65,27800,0.676,,,10.13,,"162.4 Å² [M+H]+ [CCS Type: TW, Method: calibrated with polyalanine and drug standards]",X,VALIDATION
zoledronic acid,68740,272.09,5,8,153,16,0,327,471.65,,3270,-2.415,,,,,,X,VALIDATION
emtricitabine,60877,247.25,2,5,113,16,0,374,410.15,716.43,112000,-0.43,,,2.65,,,X,VALIDATION
lamivudine,60825,229.26,2,4,113,15,0,331,434.15,,70000,-1.4,,,,,,X,VALIDATION
zidovudine,35370,267.24,2,6,93.2,19,0,484,382.32,,20100,0.05,,,,,,X,VALIDATION
olanzapine,135398745,312.4,1,4,59.1,22,0,432,465.15,749.15,94.2,4.094,,,10.57,,,X,VALIDATION
cetirizine,2678,388.9,1,5,53,27,0,443,385.65,815.25,101,2.8,,,,,"200.8 Å² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",X,VALIDATION
penicillin,2349,334.4,2,5,112,23,0,530,488.65,,210,2.74,,,,,,X,VALIDATION
