NAME,CID,WEIGHT,HYDRO_BOND_DONOR_COUNT,HYDRO_BOND_ACCEPTOR_COUNT,TOPO_POLAR_SURFACE_AREA,HEAVY_ATOM_COUNT,FORMAL_CHARGE,COMPLEXITY,MELTING_POINT(K),BOILING_POINT,SOLUBILITY (mg/L),logP,DENSITY,pH,pKa,DISSOCIATION_CONST,COLLISION_CROSS_SEC,LABEL
cilnidipine,5282138,492.5,1,8,120,36,0,896,383.15,653,0.566,4.7,,,11.39,,,1
clevidipine,153994,456.3,1,7,90.9,30,0,748,402.15,,2.67,4.5,,,,,,1
clonidine,2803,230.09,2,1,36.4,14,0,222,403.15,,480,1.59,,,8.05,,,1
clopamide,12492,345.8,2,5,101,22,0,498,519.15,,139,1.9,,,,,,1
diltiazem,39186,414.5,0,6,84.4,29,0,565,460.65,,465,2.8,,,,,"197.8 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1
doxazosin,3157,451.5,1,9,112,33,0,678,549.15,718,790,2.1,,,6.52,,,1
enalapril,5388962,376.4,2,6,95.9,27,0,519,416.9,,16400,0.07,,,,,"187.2 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1
epitizide,15671,425.9,3,11,160,24,0,662,476.15,,346,1,,,,,,1
eplerenone,443872,414.5,0,6,82.2,30,0,907,514.15,,9.03,1.3,,,,,,1
eprosartan,5281037,424.5,2,6,121,30,0,618,522.15,,8.66,3.9,,,,,,1
ethacrynic acid,3278,303.13,1,4,63.6,19,0,370,394.65,,19.4,3.3,,,3.5,,,1
felodipine,3333,384.2,1,5,64.6,25,0,614,416.15,,19.7,3.86,,,,,,1
fimasartan,9870652,501.6,1,6,123,36,0,849,966.15,,4.69,4.15,,,,,,1
fosinopril,55891,563.7,1,7,110,39,0,850,424.15,,1.01,6.3,,,,,,1
furosemide,3440,330.74,3,7,131,21,0,481,493.15,,73.1,2.03,,,,,,1
guanabenz,5702063,231.08,2,2,76.8,14,0,228,499.15,,88.9,3.2,,,,,,1
guanfacine,3519,246.09,2,1,81.5,15,0,256,487.15,,1000,0.857,,,,,,1
hydrochlorothiazide,3639,297.7,3,7,135,17,0,494,798.15,,722,-0.07,,,,,,1
indapamide,3702,365.8,2,5,101,24,0,580,434.15,,34.2,8.8,,,,,,1
indoramin,33625,347.5,2,2,48.1,26,0,454,482.15,,8.63,3.3,,,,,,1
irbesartan,3749,428.5,1,5,87.1,32,0,682,453.65,648.6,8.84,4.5,,,,,,1
isradipine,3784,371.4,1,8,104,27,0,685,442.15,,228,4.28,,,,,,1
labetalol,3869,328.4,4,4,95.6,24,0,385,461.15,552.7,5.78,1.81,,,9.3,,,1
lercanidipine,65866,611.7,1,8,114,45,0,1090,394.15,,0.156,6.4,,,,,,1
levamlodipine,9822750,408.9,2,7,99.9,28,0,647,411.15,413,81000,3.3,,,8.6,,,1
lisinopril,5362119,405.5,4,7,133,29,0,550,421.15,,97000,-1.01,,,2.5,,,1
losartan,3961,422.9,2,5,92.5,30,0,520,455.15,682,4.7,1.19,,,5.5,,,1
metalozone,4170,365.8,2,5,101,24,0,594,529.15,,60.3,2.5,,,,,,1
methyclothiazide,4121,360.2,2,7,126,20,0,571,498.15,,11.2,1.42,,,9.4,,,1
methyldopa,38853,211.21,4,5,104,15,0,246,573.15,,10000,-1.7,,,,,,1
metoprolol,4171,267.36,2,4,50.7,19,0,215,393.15,398,402,2.15,,,9.7,,,1
moexipril,91270,498.6,2,8,114,36,0,742,428.15,,5.85,2.7,,,,,,1
moxonidine,4810,241.68,2,4,71.4,16,0,275,474.15,,114,1.26,,,,,,1
nadolol,39147,309.4,4,5,82,22,0,344,400.15,526.437,8330,0.81,,,9.67,,"172 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1
nebivolol,71301,405.4,3,7,71,29,0,483,498.15,,910,4.183,,,8.13,,,1
nicardipine,4474,479.5,1,8,114,35,0,856,410.15,,2.2,3.82,,,,,"212.1 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1
nifedipine,4485,346.3,1,7,110,25,0,608,446.15,,17.7,2.2,,,,,,1
nimodipine,4497,418.4,1,8,120,30,0,736,398.15,,12,3.05,,,,,,1
nisoldipine,4499,388.4,1,7,110,28,0,704,424.65,,5.77,3.26,,,,,,1
nitrendipine,4507,360.4,1,7,110,26,0,661,431.15,,14.2,2.88,,,,,,1
olmesartan,158781,446.5,3,7,130,33,0,656,450.75,,10.5,0.73,,,4.3,,,1
oxprenolol,4631,265.35,2,4,50.7,19,0,246,352.15,,680,2.1,,,,,,1
penbutolol,37464,291.4,2,3,41.5,21,0,294,343.15,,21.2,4.15,,,,,,1
perindopril,107807,368.5,2,6,95.9,26,0,524,373.65,,1220,2.6,,,,,,1
phenoxybenzamine,4768,303.8,0,2,12.5,21,0,262,312.15,,10.3,4.7,,,,,,1
phentolamine,5775,281.35,2,3,47.9,21,0,363,447.65,,272,3.3,,,,,,1
pindolol,4828,248.32,3,3,57.3,18,0,248,444.15,,7880,1.75,,,9.25,,,1
polythiazide,4870,439.9,2,11,152,25,0,692,487.15,,264,1.9,,,,,,1
prazosin,4893,383.4,1,8,107,28,0,544,551.65,638.366,1400,1.3,,,6.54,,"192.7 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1
propranolol,4946,259.34,2,3,41.5,19,0,257,369.15,,61.7,3.48,,,9.42,,,1
quinapril,54892,438.5,2,6,95.9,32,0,648,398.15,,8.5,0.86,,,2.8,,,1
ramipril,5362129,416.5,2,6,95.9,30,0,619,382.15,,3.5,2.9,,,,,,1
spironolactone,5833,416.6,0,5,85.7,29,0,818,407.65,201,1.98,2.78,,,,,,1
telmisartan,65999,514.6,1,4,72.9,39,0,831,535.15,,3.5,7.7,,,,,,1
terazosin,5401,387.4,1,8,103,28,0,544,545.15,,1500,1.15,,,,,,1
timolol,33624,316.42,2,8,108,21,0,310,475.65,100,269,1.8,,,9.2,,,1
tolazoline,5504,160.22,1,1,24.4,12,0,169,447.15,,373,2.65,,,10.3,,,1
torsemide,41781,348.4,3,5,109,24,0,518,436.65,,59.6,3.356,,,7.1,,,1
trandolapril,5484727,430.5,2,6,95.9,31,0,634,394.15,,20.7,3.5,,,,,,1
triamterene,5546,253.26,3,7,130,19,0,307,589.15,,963,0.98,,,,,,1
valsartan,60846,435.5,2,6,112,32,0,608,389.65,85.5,23.4,1.499,,,4.73,,,1
verapamil,2520,454.6,0,6,64,33,0,606,298.15,,3.94,5.1,,,,,,1
xipamide,26618,354.8,3,5,118,23,0,526,526.65,,24.6,2.81,,,,,,1
